Элементарно,https://www.kinopoisk.ru/film/661210/,США,"драма, криминал",7.5
Наследие,https://www.kinopoisk.ru/film/1120247/,США,"фэнтези, драма",7.4
Ты,https://www.kinopoisk.ru/film/1115630/,США,"триллер, драма",7.4
Страшные сказки,https://www.kinopoisk.ru/film/782994/,"Ирландия, Великобритания","ужасы, фэнтези",7.4
Личная жизнь,https://www.kinopoisk.ru/film/1271262/,США,"мелодрама, комедия",7.4
13 причин почему,https://www.kinopoisk.ru/film/582358/,США,"драма, детектив",7.4
Программисты,https://www.kinopoisk.ru/film/1137249/,"Великобритания, США","фантастика, триллер",7.4
Родина: Форт Салем,https://www.kinopoisk.ru/film/1253333/,США,"фантастика, фэнтези",7.4
Манифест,https://www.kinopoisk.ru/film/1138750/,США,"драма, детектив",7.4
Бывшие,https://www.kinopoisk.ru/film/992490/,Россия,драма,7.4
Проект «Синяя книга»,https://www.kinopoisk.ru/film/1173629/,"США, Канада","фантастика, триллер",7.4
Ведьмак,https://www.kinopoisk.ru/film/1044004/,"США, Польша","фэнтези, приключения",7.4
Американские боги,https://www.kinopoisk.ru/film/591843/,США,"фэнтези, драма",7.4
Чики,https://www.kinopoisk.ru/film/1312007/,Россия,"драма, комедия",7.3
Банды Лондона,https://www.kinopoisk.ru/film/1200059/,Великобритания,"драма, криминал",7.3
Голова,https://www.kinopoisk.ru/film/1304211/,Испания,"триллер, детектив",7.3
"257 причин, чтобы жить",https://www.kinopoisk.ru/film/1177509/,Россия,"комедия, драма",7.3
Сотня,https://www.kinopoisk.ru/film/733493/,"США, Канада","фантастика, драма",7.3
Роковой патруль,https://www.kinopoisk.ru/film/1144179/,США,"фантастика, боевик",7.3
Человек будущего,https://www.kinopoisk.ru/film/958578/,США,"фантастика, фэнтези",7.3
Зёма,https://www.kinopoisk.ru/film/1354943/,Россия,комедия,7.3
Как продавать наркотики онлайн (быстро),https://www.kinopoisk.ru/film/1246988/,Германия,"драма, мелодрама",7.3
Касл-Рок,https://www.kinopoisk.ru/film/1040949/,США,"триллер, ужасы",7.3
Последний министр,https://www.kinopoisk.ru/film/1236796/,Россия,комедия,7.3
Темные начала,https://www.kinopoisk.ru/film/1159922/,"Великобритания, США","фэнтези, драма",7.3
"С любовью, Виктор",https://www.kinopoisk.ru/film/1301090/,США,"драма, мелодрама",7.3
Леди Баг и Супер-Кот,https://www.kinopoisk.ru/film/958607/,"Франция, Корея Южная","мультфильм, фэнтези",7.2
Колл-центр,https://www.kinopoisk.ru/film/1108685/,Россия,"триллер, драма",7.2
Водоворот,https://www.kinopoisk.ru/film/1227993/,Россия,"триллер, драма",7.2
Выжить После,https://www.kinopoisk.ru/film/732760/,Россия,"триллер, фантастика",7.2
Карнивал Роу,https://www.kinopoisk.ru/film/891433/,США,"фэнтези, триллер",7.2
Незнакомка,https://www.kinopoisk.ru/film/1263496/,Великобритания,"триллер, драма",7.2
Алиенист,https://www.kinopoisk.ru/film/968829/,США,"драма, детектив",7.2
Эпидемия,https://www.kinopoisk.ru/film/1108682/,Россия,"драма, фантастика",7.2
Чужак,https://www.kinopoisk.ru/film/1162527/,США,"триллер, детектив",7.1
Агенты «Щ.И.Т.»,https://www.kinopoisk.ru/film/701756/,США,"фантастика, боевик",7.1
Гранд,https://www.kinopoisk.ru/film/1171652/,Россия,комедия,7.1
"Лучше, чем люди",https://www.kinopoisk.ru/film/996399/,Россия,"драма, фантастика",7.0
Кондор,https://www.kinopoisk.ru/film/1044830/,США,"боевик, триллер",
Губка Боб квадратные штаны,https://www.kinopoisk.ru/film/161268/,США,"мультфильм, фэнтези",
С чего начинается Родина,https://www.kinopoisk.ru/film/842096/,Россия,"детектив, драма",
Видеть,https://www.kinopoisk.ru/film/1171911/,США,"фантастика, боевик",
Ключи Локков,https://www.kinopoisk.ru/film/774797/,"Канада, США","фэнтези, триллер",
Великая,https://www.kinopoisk.ru/film/666955/,"Великобритания, Австралия","комедия, биография",
Рагнарёк,https://www.kinopoisk.ru/film/1254370/,"Норвегия, Дания","фэнтези, драма",
Мне это не нравится,https://www.kinopoisk.ru/film/1261983/,США,"комедия, фантастика",
Ривердэйл,https://www.kinopoisk.ru/film/962012/,США,"драма, мелодрама",
Скрестив мечи,https://www.kinopoisk.ru/film/1198083/,США,"мультфильм, фэнтези",
Космические войска,https://www.kinopoisk.ru/film/1231021/,США,комедия,
Реальные пацаны,https://www.kinopoisk.ru/film/568082/,Россия,комедия,
Светила,https://www.kinopoisk.ru/film/1192866/,"Великобритания, Новая Зеландия","драма, приключения",
Общество,https://www.kinopoisk.ru/film/1194396/,США,"драма, фантастика",
Берёзка,https://www.kinopoisk.ru/film/1047938/,Россия,мелодрама,
Перри Мейсон,https://www.kinopoisk.ru/film/633825/,США,"детектив, криминал",
ЧУМА!,https://www.kinopoisk.ru/film/1387078/,Россия,комедия,
Содержанки,https://www.kinopoisk.ru/film/1191043/,Россия,"триллер, драма",
Окаянные дни,https://www.kinopoisk.ru/film/1387121/,Россия,комедия,
Сквозь снег,https://www.kinopoisk.ru/film/1040428/,США,"фантастика, боевик",
Беги,https://www.kinopoisk.ru/film/1202314/,США,"триллер, мелодрама",
В ночь,https://www.kinopoisk.ru/film/1301713/,Бельгия,"фантастика, триллер",
Фантом,https://www.kinopoisk.ru/film/1253979/,"Россия, Украина","детектив, триллер",
Страшные сказки: Город ангелов,https://www.kinopoisk.ru/film/1254206/,США,"ужасы, фэнтези",
Алекс Лютый,https://www.kinopoisk.ru/film/1266998/,Россия,"детектив, история",
Тайный орден,https://www.kinopoisk.ru/film/1130837/,США,"ужасы, фэнтези",
Старгёрл,https://www.kinopoisk.ru/film/1178279/,США,"фантастика, фэнтези",
Сумеречная зона,https://www.kinopoisk.ru/film/762172/,США,"ужасы, фантастика",
Нагиев на карантине,https://www.kinopoisk.ru/film/1371997/,Россия,комедия,
Затопленный город,https://www.kinopoisk.ru/film/1304560/,Италия,"триллер, детектив",
Текст. Реальность,https://www.kinopoisk.ru/film/1374289/,Россия,"драма, триллер",88%
Записки отельера #Гельвеция,https://www.kinopoisk.ru/film/1338436/,Россия,комедия,
Надежда,https://www.kinopoisk.ru/film/1259190/,Россия,драма,
Метод 2,https://www.kinopoisk.ru/film/1238997/,Россия,"триллер, детектив",97%
Агентство О.К.О.,https://www.kinopoisk.ru/film/1206895/,Россия,детектив,
Дивный новый мир,https://www.kinopoisk.ru/film/1263485/,США,"фантастика, драма",98%
Я исчезну во тьме,https://www.kinopoisk.ru/film/1158929/,США,криминал,
Проклятая,https://www.kinopoisk.ru/film/1190066/,США,"фэнтези, драма",96%
Достаточно близко,https://www.kinopoisk.ru/film/1112749/,США,"мультфильм, фантастика",
Без гражданства,https://www.kinopoisk.ru/film/923464/,Австралия,драма,
Последние из нас,https://www.kinopoisk.ru/film/839458/,США,"ужасы, драма",98%
Время приключений: Далёкие земли,https://www.kinopoisk.ru/film/1316565/,США,мультфильм,
